,age,taille,poids,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,manquants
2417,32,175.6,86.5,2467,3.0,0.93,530.0,5231.748886883273,16185.064244023328,1
2422,62,180.9,58.4,3499,1.0,0.41,421.0,10000.0,2621.991170390659,0
2423,46,156.5,81.0,3588,2.5351401010565,0.54,335.0,10000.0,21165.89664278441,1
2427,50,166.9,93.1,4591,3.0,0.65,538.0,403.35,23335.49676636848,0
2429,73,148.9,59.6,5593,2.5351401010565,0.06,655.0,1307.92,34928.545790518874,1
2431,22,166.4,84.7,3178,2.5351401010565,0.13,379.0,5000.0,2203.0337080929994,1
2436,37,155.2,89.3,2070,5.0,0.51,803.0,5231.748886883273,11058.632095273046,1
2437,62,170.5,48.7,3900,2.5351401010565,0.76,455.0,5000.0,500.0,1
2438,36,167.0,86.7,3223,0.0,0.66,751.0,10000.0,19516.454511962416,0
2440,29,180.6,65.9,2368,4.0,0.37,352.0,5000.0,500.0,0
2441,62,174.0,85.9,3478,2.5351401010565,0.51,583.0,5000.0,45877.40497859802,1
2444,50,179.0,66.5,3487,2.5351401010565,0.15,713.0,1419.12,9800.225042050182,1
2446,48,168.1,87.4,1686,0.0,0.56,486.0,1213.08,500.0,0
2450,34,179.2,56.8,1973,2.0,0.53,766.0,10000.0,16815.322371461785,0
2451,19,171.2,66.1,683,2.5351401010565,0.79,510.0,10000.0,6891.624514494192,1
2453,70,160.9,82.6,1227,2.5351401010565,0.25,524.0,1175.14,500.0,1
2455,31,152.9,93.1,2351,2.5351401010565,0.01,709.0,5000.0,500.0,1
2456,58,156.3,79.4,500,2.5351401010565,0.15,417.0,10000.0,3199.310907608612,1
2460,38,183.2,78.5,2855,1.0,0.39,548.0,5000.0,500.0,0
2461,18,169.9,84.0,3148,1.0,0.39,754.0,10000.0,19354.689040026744,0
2473,24,180.2,83.2,3160,2.0,0.74,722.0,5231.748886883273,8655.723626350307,1
2474,56,179.4,64.1,592,5.0,0.73,374.0,5000.0,500.0,0
2475,65,170.3,47.6,2219,5.0,0.79,656.0,5000.0,6917.19408936927,0
2476,58,160.4,89.3,886,2.5351401010565,0.8,305.0,5000.0,500.0,1
2478,43,172.4,57.2,3600,1.0,0.83,531.0,10000.0,16236.95900661788,0
2482,53,160.7,61.1,4682,3.0,0.85,846.0,762.46,28162.577196715654,0
2483,49,168.8,66.7,2701,2.5351401010565,0.7,513.0,10000.0,500.0,1
2484,74,160.6,65.1,3075,2.5351401010565,0.03,837.0,966.33,3674.596637735833,1
2485,19,164.8,78.4,4199,2.5351401010565,0.76,656.0,946.17,44128.74065902961,1
2489,74,157.8,15.8,3657,0.0,0.48,721.0,5231.748886883273,500.0,1
2490,33,164.4,64.0,2019,0.0,1.0,763.0,5231.748886883273,4652.518842300937,1
2495,61,153.2,87.3,500,5.0,0.89,430.0,705.82,9475.221095705489,0
2498,33,169.6,99.2,3090,2.0,0.14,508.0,10000.0,25318.321346095523,0
2502,39,166.7,70.0,2373,2.5351401010565,0.92,606.0,990.93,500.0,1
2503,36,156.2,42.4,2329,2.5351401010565,0.54,402.0,744.83,10348.025824657658,1
2505,46,184.1,74.9,1739,3.0,0.1,333.0,5231.748886883273,500.0,1
2507,38,159.2,73.6,2940,4.0,0.76,744.0,10000.0,28058.797577534933,0
2508,20,165.4,82.4,3852,2.5351401010565,0.73,563.0,10000.0,500.0,1
2509,63,154.6,66.8,2454,0.0,0.97,721.0,5231.748886883273,500.0,1
2511,59,173.4,100.6,1709,2.5351401010565,0.08,822.0,5000.0,500.0,1
2513,23,158.7,62.7,2672,0.0,0.37,465.0,5000.0,6092.632886191398,0
2518,58,169.2,61.4,2356,2.5351401010565,0.52,630.0,5000.0,4574.687759409776,1
2521,60,173.5,86.3,4391,2.5351401010565,0.7,538.0,702.74,17139.720893178834,1
2524,71,149.4,69.6,3394,2.5351401010565,0.26,501.0,5000.0,28049.25108127501,1
2527,22,159.9,78.7,2260,1.0,0.28,629.0,5000.0,500.0,0
2530,31,183.2,74.9,1705,3.0,0.16,693.0,5231.748886883273,500.0,1
2531,61,165.3,72.1,839,2.5351401010565,0.52,664.0,5000.0,15165.16635192171,1
2533,30,172.2,53.1,2496,2.5351401010565,0.71,355.0,10000.0,500.0,1
2534,24,174.1,95.0,2075,2.0,0.77,765.0,5231.748886883273,500.0,1
2539,41,160.4,65.0,3750,4.0,0.26,307.0,5000.0,500.0,0
2542,64,179.5,64.6,3344,3.0,0.38,431.0,10000.0,12483.472051435909,0
2543,72,172.0,45.3,2209,1.0,0.34,717.0,845.42,3810.979568097087,0
2544,20,181.7,86.8,2242,0.0,0.95,327.0,5231.748886883273,14911.12920217478,1
2545,40,178.2,84.1,828,2.5351401010565,0.23,482.0,5000.0,500.0,1
2546,70,156.0,76.6,1844,2.5351401010565,0.62,730.0,10000.0,2684.225223403396,1
2553,22,168.6,68.0,1288,3.0,0.87,657.0,5231.748886883273,2338.112333817608,1
2559,53,176.8,75.8,2444,2.5351401010565,0.15,510.0,760.28,500.0,1
2560,63,166.2,60.2,2803,0.0,0.87,377.0,5000.0,26211.07905727228,0
2561,32,159.8,57.0,500,2.5351401010565,0.51,731.0,5000.0,10068.664617903576,1
2564,69,175.1,69.0,3593,1.0,0.07,599.0,10000.0,500.0,0
2571,41,168.5,71.0,4452,4.0,0.89,528.0,982.84,38910.598349831525,0
2576,51,174.0,73.5,1797,2.0,0.66,846.0,10000.0,500.0,0
2577,55,179.2,52.9,621,2.5351401010565,0.12,629.0,867.73,500.0,1
2579,25,157.4,55.4,2815,0.0,0.59,685.0,10000.0,18651.153683592755,0
2580,67,170.1,89.9,2713,2.5351401010565,0.56,363.0,10000.0,500.0,1
2581,27,174.2,42.8,2119,3.0,0.21,699.0,10000.0,21910.2315069594,0
2585,39,159.5,75.7,2487,0.0,0.32,351.0,5231.748886883273,500.0,1
2586,55,190.5,42.7,1359,2.0,0.63,617.0,5231.748886883273,12947.553249587192,1
2587,31,158.4,46.1,2749,1.0,0.94,469.0,5000.0,15837.393391736972,0
2590,21,171.2,70.3,5674,5.0,0.75,549.0,369.68,11207.282072509854,0
2592,74,179.4,80.7,2844,5.0,0.29,831.0,5231.748886883273,28689.316266451555,1
2595,59,168.6,58.0,956,2.5351401010565,0.85,464.0,5000.0,500.0,1
2597,47,157.7,56.3,3031,2.0,0.73,318.0,807.79,18605.49101348684,0
2598,58,173.4,74.6,2837,1.0,0.39,320.0,5000.0,33225.55425269809,0
2601,71,166.0,101.8,1355,2.5351401010565,0.03,799.0,10000.0,500.0,1
2604,20,153.7,84.6,2427,5.0,0.13,567.0,10000.0,8401.260657053163,0
2606,54,168.4,67.4,1449,2.5351401010565,0.53,821.0,10000.0,500.0,1
2609,40,190.0,68.7,884,2.5351401010565,0.29,364.0,5000.0,14376.438833682334,1
2613,43,175.1,65.7,2847,1.0,0.76,840.0,5231.748886883273,33544.04291451291,1
2614,56,172.6,99.0,2848,0.0,0.7,379.0,10000.0,500.0,0
2616,44,163.7,70.2,2761,2.5351401010565,0.27,827.0,5000.0,13328.93030342058,1
2619,68,181.4,65.9,3102,2.5351401010565,0.05,467.0,937.81,27803.160032930435,1
2620,42,162.0,78.3,3664,2.5351401010565,0.13,747.0,941.82,23873.926816609688,1
2622,57,173.4,79.3,3789,2.5351401010565,0.04,587.0,10000.0,17481.583898228793,1
2623,36,177.5,65.2,2906,5.0,0.18,790.0,10000.0,500.0,0
2624,59,179.2,86.0,3124,2.5351401010565,0.36,414.0,10000.0,500.0,1
2625,63,169.7,84.5,500,2.5351401010565,0.79,720.0,5000.0,500.0,1
2631,65,172.5,71.1,818,2.5351401010565,0.49,576.0,700.32,500.0,1
2636,75,172.0,66.6,1257,3.0,0.06,454.0,5231.748886883273,500.0,1
2638,47,174.3,89.6,1650,4.0,0.4,471.0,5231.748886883273,500.0,1
2644,19,170.9,75.9,3813,5.0,0.62,757.0,5231.748886883273,21959.75646115156,1
2645,58,174.6,84.9,3591,2.5351401010565,0.81,604.0,10000.0,500.0,1
2646,27,177.4,75.4,3268,2.5351401010565,0.83,839.0,1163.64,17482.144858514723,1
2650,22,168.1,81.4,2778,4.0,0.48,526.0,5000.0,500.0,0
2653,59,170.1,95.0,500,2.5351401010565,0.32,613.0,594.59,6728.080258564397,1
2664,43,182.7,96.1,2428,5.0,0.56,552.0,5231.748886883273,500.0,1
2665,34,180.4,72.5,3043,2.5351401010565,0.36,746.0,5000.0,500.0,1
2669,41,175.8,66.3,1023,1.0,0.57,371.0,10000.0,2773.3540447095083,0
2671,65,168.2,71.5,2912,2.5351401010565,0.92,428.0,10000.0,8801.156802206959,1
2674,21,180.8,61.4,3960,2.5351401010565,0.92,627.0,1134.93,500.0,1
2675,24,185.9,44.5,2074,2.5351401010565,0.98,452.0,10000.0,500.0,1
2676,27,160.1,58.4,3048,2.5351401010565,0.8,302.0,10000.0,500.0,1
2678,62,178.2,86.7,2103,2.5351401010565,0.51,407.0,1021.36,42910.74274766725,1
2681,52,160.1,66.6,3517,2.5351401010565,0.17,832.0,5000.0,17967.36245444661,1
2683,30,168.3,54.3,2325,5.0,0.63,363.0,5000.0,500.0,0
2685,66,170.3,81.6,3431,4.0,0.42,479.0,10000.0,14896.95240509809,0
2686,37,167.9,78.0,764,2.5351401010565,0.66,460.0,944.68,500.0,1
2689,65,177.5,76.2,1893,4.0,0.38,441.0,712.5,500.0,0
2690,64,170.8,66.7,1619,4.0,0.88,644.0,5231.748886883273,500.0,1
2700,39,170.1,48.6,500,2.5351401010565,0.65,748.0,852.65,2809.0685120321923,1
2705,58,169.9,46.6,3272,2.5351401010565,0.98,748.0,5000.0,19025.22461592241,1
2708,38,180.5,48.9,3238,1.0,0.21,569.0,5231.748886883273,500.0,1
2709,36,164.4,40.9,2899,2.5351401010565,0.01,585.0,978.31,1268.389955896836,1
2711,71,175.7,59.9,1568,4.0,0.57,424.0,10000.0,8797.814558404281,0
2713,37,179.1,30.5,3754,3.0,0.26,514.0,5231.748886883273,29095.752983725444,1
2715,49,164.4,63.3,2781,2.0,0.58,331.0,5231.748886883273,4704.261460615925,1
2716,18,183.2,83.0,2975,1.0,0.51,304.0,5231.748886883273,500.0,1
2717,56,171.5,104.2,3136,3.0,0.26,300.0,5000.0,500.0,0
2719,69,165.6,55.6,2597,2.5351401010565,0.48,449.0,10000.0,500.0,1
2726,54,155.4,75.6,2039,2.0,0.09,322.0,5231.748886883273,17024.842765783367,1
2732,55,168.2,67.5,2256,0.0,0.16,499.0,5231.748886883273,23986.0348910977,1
2734,72,169.6,88.0,1931,5.0,0.51,672.0,10000.0,14389.818518246744,0
2740,49,153.7,71.2,1968,2.5351401010565,0.73,451.0,1161.12,18314.558225299203,1
2749,55,157.6,80.0,3056,2.5351401010565,0.55,375.0,1134.82,500.0,1
2752,69,149.4,67.3,4860,3.0,0.73,304.0,5231.748886883273,26318.74464440682,1
2754,68,173.6,70.2,2363,2.5351401010565,0.53,566.0,10000.0,7997.517283682837,1
2758,34,162.7,74.0,1982,5.0,0.86,430.0,600.49,10170.616147502187,0
2759,69,176.7,40.4,1742,2.5351401010565,0.66,837.0,10000.0,8427.0775812741,1
2760,35,155.4,67.2,2175,2.5351401010565,0.56,448.0,10000.0,500.0,1
2766,19,158.8,76.6,4285,2.5351401010565,0.84,369.0,10000.0,8569.79706185768,1
2767,31,176.1,56.6,946,4.0,0.96,823.0,10000.0,12013.169289164312,0
2768,64,158.7,64.0,1991,2.5351401010565,0.2,776.0,5000.0,500.0,1
2776,56,172.5,71.0,2291,1.0,0.9,470.0,5231.748886883273,17931.114911344644,1
2777,51,170.1,89.2,1836,2.5351401010565,0.33,663.0,971.9,929.2302867003194,1
2778,36,148.0,68.0,2218,2.5351401010565,0.03,709.0,994.86,24221.03734614199,1
2785,72,173.8,67.8,2368,2.5351401010565,0.59,736.0,784.92,500.0,1
2786,43,173.4,51.6,1265,0.0,0.43,419.0,5000.0,500.0,0
2789,52,180.3,61.8,879,3.0,0.79,307.0,5231.748886883273,500.0,1
2790,37,171.3,63.1,500,0.0,0.28,389.0,329.63,500.0,0
2791,60,189.4,67.3,2174,3.0,0.39,301.0,569.22,500.0,0
2794,43,167.0,61.0,2318,2.5351401010565,0.53,709.0,1388.32,16160.54515451806,1
2796,24,176.9,51.7,2065,3.0,0.93,756.0,5000.0,500.0,0
2797,22,165.5,60.4,1418,2.5351401010565,0.2,521.0,216.04,18211.888124076293,1
2799,53,148.8,53.8,1414,2.5351401010565,0.17,701.0,752.85,1130.1526665976949,1
2801,75,152.2,61.9,500,0.0,0.51,601.0,896.67,500.0,0
2802,58,162.5,86.2,1143,0.0,0.86,789.0,5000.0,500.0,0
2805,64,165.2,85.2,2166,2.5351401010565,0.21,555.0,10000.0,500.0,1
2806,55,177.9,59.4,4056,2.5351401010565,0.78,411.0,10000.0,500.0,1
2809,66,162.6,68.0,1159,2.5351401010565,0.46,695.0,1378.19,500.0,1
2812,59,152.9,96.3,500,0.0,0.57,779.0,695.15,15082.961701237107,0
2814,22,174.2,74.2,2929,4.0,0.56,810.0,10000.0,3506.0932597510114,0
2815,33,166.1,67.3,4467,2.5351401010565,0.13,800.0,529.51,500.0,1
2816,45,183.1,77.6,1361,2.5351401010565,0.47,579.0,10000.0,18748.64342476132,1
2817,29,165.6,75.9,4823,1.0,0.37,709.0,5000.0,500.0,0
2819,25,182.1,88.0,2794,2.5351401010565,0.65,709.0,766.87,500.0,1
2821,55,191.4,91.2,2295,1.0,0.19,369.0,847.25,20467.71908854508,0
2823,44,182.9,58.2,2024,3.0,0.9,497.0,5231.748886883273,18492.062001420378,1
2827,22,191.8,94.8,3543,2.5351401010565,0.46,684.0,10000.0,38530.469576731375,1
2836,27,174.7,80.5,2233,1.0,0.62,798.0,10000.0,24270.20863280798,0
2838,59,204.1,72.7,1659,3.0,0.25,361.0,10000.0,500.0,0
2842,36,156.5,71.2,2938,2.5351401010565,0.3,310.0,5000.0,500.0,1
2844,28,178.1,74.4,3749,3.0,0.07,766.0,10000.0,13951.858356926174,0
2849,25,170.6,47.7,1968,2.5351401010565,0.45,848.0,5000.0,20458.78976194352,1
2850,74,170.6,55.1,500,3.0,0.01,623.0,5231.748886883273,500.0,1
2851,41,159.7,76.8,2227,4.0,0.33,739.0,5000.0,500.0,0
2853,30,171.0,45.3,2242,1.0,0.82,400.0,5231.748886883273,7405.375956687081,1
2856,65,168.9,80.0,3446,2.5351401010565,0.02,541.0,737.62,16818.085738883787,1
2857,21,169.3,71.1,2944,2.5351401010565,0.74,542.0,5000.0,37730.70918653798,1
2858,39,169.4,93.9,1823,2.5351401010565,0.97,718.0,10000.0,7141.560194438305,1
2861,43,174.1,60.7,1905,5.0,0.63,706.0,5000.0,500.0,0
2868,32,182.4,61.7,2333,2.5351401010565,0.86,624.0,5000.0,7235.631567374976,1
2871,64,153.8,68.9,2079,3.0,0.19,383.0,5000.0,500.0,0
2872,60,172.2,79.6,1190,2.5351401010565,0.14,666.0,10000.0,500.0,1
2875,51,178.6,76.8,500,1.0,0.65,427.0,10000.0,20029.040757701445,0
2876,52,166.0,58.5,1208,5.0,0.75,409.0,5231.748886883273,500.0,1
2878,39,160.6,79.2,1346,2.0,0.66,453.0,5231.748886883273,4672.653006666625,1
2881,75,165.6,80.2,2179,4.0,0.6,557.0,1038.54,16307.7229371125,0
2882,29,170.3,89.1,4073,2.5351401010565,0.7,400.0,5000.0,17566.40177951013,1
2883,25,167.8,64.2,2844,2.5351401010565,0.6,785.0,10000.0,500.0,1
2884,62,163.7,70.2,2889,0.0,0.78,731.0,935.59,500.0,0
2888,71,169.5,72.3,1486,2.5351401010565,0.75,360.0,1109.41,1662.924026364064,1
2890,70,160.7,84.5,4139,2.5351401010565,0.66,452.0,10000.0,500.0,1
2891,36,164.2,95.1,2603,2.0,0.52,749.0,5231.748886883273,500.0,1
2893,28,171.2,59.1,1617,3.0,0.97,527.0,10000.0,500.0,0
2894,41,172.8,70.2,2543,2.5351401010565,0.41,598.0,10000.0,500.0,1
2895,75,160.0,55.2,3094,2.0,0.89,788.0,545.51,500.0,0
2897,45,167.6,42.6,2201,2.0,0.11,713.0,10000.0,500.0,0
2899,23,163.8,81.5,1951,4.0,0.44,796.0,10000.0,500.0,0
2901,26,176.1,69.4,3763,4.0,0.78,329.0,651.61,14522.126515169555,0
2903,55,149.7,75.9,2132,1.0,0.5,788.0,5000.0,500.0,0
2905,58,171.8,60.7,500,5.0,0.13,303.0,5000.0,29528.875266421812,0
2907,23,162.6,58.8,4011,1.0,0.1,777.0,10000.0,16897.175791866368,0
2908,25,163.9,75.6,2102,2.5351401010565,0.17,306.0,10000.0,500.0,1
2916,26,175.3,74.3,3771,2.5351401010565,0.54,527.0,841.13,500.0,1
2918,44,178.7,82.3,2848,2.5351401010565,0.56,470.0,5000.0,500.0,1
2920,43,166.2,52.5,1742,5.0,0.35,539.0,10000.0,21033.4467332044,0
2921,62,164.4,84.6,2155,1.0,0.23,485.0,10000.0,500.0,0
2922,19,181.2,62.9,2534,4.0,0.95,711.0,5000.0,11649.068381015972,0
2923,63,168.0,81.0,648,2.5351401010565,0.79,378.0,534.07,7460.44516018489,1
2924,51,174.9,54.2,2183,2.5351401010565,0.84,800.0,5000.0,21275.330868241443,1
2927,52,165.8,61.9,4044,2.5351401010565,0.1,502.0,10000.0,500.0,1
2932,24,170.8,55.5,1694,1.0,0.83,415.0,833.53,500.0,0
2936,64,162.1,78.4,3190,2.5351401010565,0.91,369.0,10000.0,13379.2509809291,1
2939,30,176.3,64.7,1740,2.5351401010565,0.04,374.0,10000.0,500.0,1
2940,40,176.1,77.1,4153,2.5351401010565,0.59,624.0,5000.0,4512.353496701046,1
2942,19,172.4,80.9,512,5.0,0.28,800.0,5231.748886883273,500.0,1
2943,62,177.8,56.8,2603,2.5351401010565,0.8,809.0,5000.0,3689.708660649225,1
2949,70,163.1,63.4,4391,2.5351401010565,0.6,561.0,502.75,8609.765766875245,1
2954,34,166.8,75.4,1434,2.0,0.77,682.0,5231.748886883273,500.0,1
2955,58,175.3,78.0,2039,2.5351401010565,0.48,727.0,384.43,17335.93502475075,1
2956,46,170.7,91.5,2064,2.5351401010565,0.8,793.0,5000.0,15438.93768684344,1
2958,71,172.1,70.4,4881,2.5351401010565,0.37,834.0,833.83,32868.453928309114,1
2959,19,159.2,68.2,2475,2.5351401010565,0.84,790.0,10000.0,500.0,1
2965,38,170.4,64.9,2934,0.0,0.64,342.0,10000.0,6403.612522572084,0
2966,37,173.2,80.4,1460,2.0,0.49,300.0,1059.92,10235.03751108291,0
2967,52,155.8,45.1,993,2.5351401010565,0.59,684.0,844.84,16718.503458793577,1
2968,31,154.8,57.5,2032,2.0,0.38,527.0,5000.0,16636.69263557818,0
2969,40,166.2,67.6,665,2.5351401010565,0.79,339.0,10000.0,21976.802681712237,1
2970,33,173.1,102.1,506,2.5351401010565,0.5,647.0,826.03,500.0,1
2981,20,183.4,70.0,732,5.0,0.71,504.0,10000.0,500.0,0
2985,34,180.3,37.8,3040,4.0,0.09,469.0,-4.87,21202.23880898143,0
2989,27,175.9,66.7,3460,0.0,0.27,577.0,5000.0,500.0,0
2992,32,169.4,73.7,2221,2.5351401010565,0.9,823.0,5000.0,628.2753345440714,1
2994,65,171.7,79.0,1994,2.5351401010565,0.25,484.0,10000.0,500.0,1
2997,27,173.6,64.4,1847,2.5351401010565,0.56,316.0,5000.0,5518.705733493365,1
2998,67,170.4,69.7,4300,2.5351401010565,0.8,457.0,1155.35,28150.341140496592,1
3003,48,184.6,81.5,561,3.0,0.6,332.0,5231.748886883273,500.0,1
3004,38,177.2,59.5,2231,2.0,0.99,769.0,5231.748886883273,13889.70317926636,1
3006,71,173.9,94.2,500,0.0,0.04,539.0,5231.748886883273,500.0,1
3012,33,161.6,87.2,2528,2.5351401010565,0.41,818.0,10000.0,3978.576230821033,1
3017,25,172.5,60.0,3052,4.0,0.53,764.0,1069.98,500.0,0
3019,19,173.0,70.8,2590,3.0,0.84,507.0,645.92,3764.454650476233,0
3022,58,171.6,70.1,2811,1.0,0.58,345.0,650.47,20771.915081229483,0
3023,75,161.1,72.8,3419,2.5351401010565,0.13,710.0,1079.95,2646.623178789177,1
3024,62,181.7,86.5,1376,2.5351401010565,0.17,714.0,695.51,500.0,1
3026,61,156.8,70.3,721,0.0,0.21,356.0,5231.748886883273,500.0,1
3028,65,179.5,60.7,2928,2.0,0.11,470.0,5231.748886883273,35219.049757163055,1
3029,24,171.7,37.8,2906,2.5351401010565,0.79,670.0,628.96,500.0,1
3030,25,161.0,62.0,529,2.5351401010565,0.75,542.0,10000.0,500.0,1
3031,35,167.2,64.0,2963,2.0,0.85,735.0,888.59,500.0,0
3033,67,174.6,78.7,1341,2.5351401010565,0.76,499.0,5000.0,500.0,1
3036,69,179.7,56.2,2101,2.5351401010565,0.24,702.0,10000.0,18897.50362778629,1
3038,62,169.6,71.0,1193,2.5351401010565,0.69,734.0,5000.0,20585.854065502743,1
3039,70,165.5,76.6,2246,2.5351401010565,0.06,333.0,10000.0,500.0,1
3040,75,165.4,53.2,743,2.5351401010565,0.86,675.0,214.8,19601.986561943948,1
3041,27,175.5,56.6,2648,1.0,0.99,796.0,10000.0,25442.37941306498,0
3043,39,188.4,66.9,2410,1.0,0.7,461.0,5000.0,500.0,0
3045,70,164.9,57.0,1397,2.5351401010565,0.46,751.0,5000.0,500.0,1
3047,60,176.1,58.3,2309,3.0,0.71,431.0,5231.748886883273,4909.784070106458,1
3048,49,159.7,72.5,4144,2.5351401010565,0.66,777.0,1027.64,24299.236885302285,1
3049,53,158.9,60.1,2536,2.5351401010565,0.58,654.0,10000.0,5928.221864726001,1
3050,75,163.3,80.3,902,0.0,0.69,847.0,5231.748886883273,500.0,1
3052,58,159.4,57.0,2072,1.0,0.33,817.0,5231.748886883273,19145.24108058376,1
3053,72,167.9,48.0,653,2.5351401010565,0.84,318.0,798.8,500.0,1
3055,72,182.0,67.9,1550,2.0,0.83,827.0,5231.748886883273,5710.123629715768,1
3057,39,165.6,69.3,2968,4.0,0.82,518.0,5231.748886883273,500.0,1
3059,39,170.4,57.6,2147,0.0,0.0,775.0,1146.73,500.0,0
3060,52,177.8,97.5,3052,1.0,0.84,361.0,10000.0,20205.78528366729,0
3068,54,171.7,55.0,500,0.0,0.02,560.0,10000.0,500.0,0
3072,71,165.7,56.0,2239,2.5351401010565,0.55,740.0,10000.0,12206.6819020577,1
3076,73,178.4,71.3,1285,3.0,0.17,805.0,5231.748886883273,8595.958835608779,1
3082,37,181.7,63.7,2474,2.5351401010565,0.83,531.0,10000.0,18928.432302344914,1
3083,43,173.5,106.0,3322,3.0,0.6,711.0,5231.748886883273,30919.74265185434,1
3084,27,159.7,80.9,2183,2.5351401010565,0.6,633.0,10000.0,12409.50452305278,1
3086,50,171.5,78.6,2215,5.0,0.17,500.0,5231.748886883273,12052.850612227829,1
3087,19,181.0,55.9,3216,2.5351401010565,0.65,687.0,10000.0,26309.588216904394,1
3090,65,153.3,58.3,2724,1.0,0.09,584.0,5000.0,14105.870564386109,0
3095,35,167.7,67.1,500,2.5351401010565,0.64,367.0,10000.0,500.0,1
3096,41,157.7,68.5,1504,2.0,0.69,395.0,10000.0,2883.205332038312,0
3098,37,176.2,86.7,2845,2.5351401010565,0.72,686.0,10000.0,500.0,1
3105,45,172.1,53.3,2452,2.5351401010565,0.2,480.0,1631.65,35865.36697310162,1
3110,62,182.8,96.6,3027,4.0,0.91,732.0,5231.748886883273,500.0,1
3116,26,152.6,55.8,3503,5.0,0.5,317.0,5231.748886883273,3528.796969625079,1
3117,73,177.9,79.5,4161,2.5351401010565,0.55,809.0,1168.03,19353.381027973544,1
3119,36,157.5,72.0,3507,2.5351401010565,0.41,640.0,10000.0,39574.1898429275,1
3120,49,168.7,45.4,2208,5.0,0.01,813.0,10000.0,500.0,0
3121,42,167.9,60.8,3120,1.0,0.58,369.0,5231.748886883273,500.0,1
3122,54,183.4,63.2,2924,2.0,0.53,499.0,5231.748886883273,500.0,1
3125,27,167.2,99.5,1883,4.0,0.99,791.0,668.95,22363.79674952221,0
3127,20,170.4,62.7,500,5.0,0.52,374.0,5000.0,500.0,0
3129,54,165.8,73.6,936,1.0,0.75,522.0,10000.0,500.0,0
3131,22,171.6,86.9,1694,3.0,0.32,339.0,5000.0,500.0,0
3134,57,163.3,63.4,2378,2.0,0.57,416.0,5000.0,500.0,0
3140,49,155.3,36.9,2976,4.0,0.47,432.0,10000.0,1144.79204555378,0
3143,47,186.3,69.5,2790,2.5351401010565,0.77,512.0,774.56,500.0,1
3145,71,171.8,71.8,1745,3.0,0.11,440.0,5000.0,17548.98580208038,0
3146,54,169.3,74.8,3689,2.5351401010565,0.35,352.0,10000.0,500.0,1
3147,39,190.0,78.3,741,5.0,0.43,759.0,5231.748886883273,500.0,1
3148,63,167.7,53.8,2211,2.0,0.78,632.0,994.21,24085.99269449737,0
3150,27,173.2,67.2,1329,2.5351401010565,0.54,608.0,5000.0,32971.019531552265,1
3151,44,158.1,105.4,2337,2.5351401010565,0.45,499.0,5000.0,500.0,1
3157,68,178.1,77.1,2354,2.5351401010565,0.11,738.0,5000.0,500.0,1
3159,31,174.2,78.0,1183,3.0,0.86,454.0,5231.748886883273,11023.944251991074,1
3162,33,177.8,73.7,3136,2.5351401010565,0.85,517.0,10000.0,500.0,1
3165,51,180.0,79.0,3310,1.0,0.49,328.0,5231.748886883273,25474.75214180031,1
3167,31,189.7,107.4,719,2.5351401010565,0.98,685.0,775.26,1922.4770726546767,1
3169,21,167.8,62.9,3210,4.0,0.92,303.0,10000.0,500.0,0
3172,57,184.4,75.7,1177,2.5351401010565,0.96,692.0,1003.13,4883.301523369274,1
3180,47,171.9,83.2,2284,1.0,0.86,595.0,10000.0,3747.193492032121,0
3181,56,186.4,83.5,3192,2.5351401010565,0.64,568.0,10000.0,24640.423082447564,1
3184,65,167.7,70.7,1485,0.0,0.37,693.0,5231.748886883273,500.0,1
3185,40,170.9,92.0,545,2.5351401010565,0.26,430.0,10000.0,500.0,1
3186,18,174.3,84.0,600,3.0,0.92,820.0,5231.748886883273,500.0,1
3189,68,166.9,50.0,4294,2.0,0.55,668.0,10000.0,500.0,0
3191,57,174.5,53.7,500,5.0,0.41,638.0,10000.0,14757.664911705866,0
3192,19,171.1,63.3,1941,0.0,0.96,302.0,5000.0,19326.255355399957,0
3197,48,173.4,89.5,3527,0.0,0.48,827.0,1710.81,19070.546404335924,0
3199,75,164.6,41.8,2724,2.5351401010565,0.2,743.0,10000.0,500.0,1
3200,70,163.9,63.7,1361,2.5351401010565,0.79,338.0,5000.0,500.0,1
3203,48,176.1,76.7,1776,2.5351401010565,0.04,301.0,5000.0,4609.975863244668,1
3205,58,183.3,50.8,1531,2.5351401010565,0.64,672.0,10000.0,500.0,1
3216,54,175.7,57.6,1482,2.5351401010565,0.34,626.0,10000.0,500.0,1
3220,42,172.9,73.7,4223,2.5351401010565,0.84,731.0,804.52,500.0,1
3221,39,180.5,47.5,2164,2.0,0.49,845.0,5231.748886883273,12051.11050799259,1
3222,57,163.6,104.0,2888,5.0,0.94,737.0,725.48,23605.5805706009,0
3223,35,194.9,61.1,1913,3.0,0.65,316.0,5000.0,18285.96319541108,0
3225,71,154.0,78.0,3889,5.0,0.43,448.0,10000.0,35978.5047053163,0
3231,64,163.8,52.0,1592,2.0,0.41,725.0,10000.0,500.0,0
3232,54,153.3,56.1,2065,2.5351401010565,0.43,515.0,10000.0,500.0,1
3233,60,171.9,72.9,3022,2.5351401010565,0.91,478.0,10000.0,6400.993813412489,1
3234,65,174.5,49.8,4097,1.0,0.87,810.0,5231.748886883273,20602.89201669806,1
